directory,candidate,stage,count,targetHits,targetFrequencyPct,medianPct,p10Pct,worstPct,worstDrawdownPct,unclosed,nonoverlapping_count,nonoverlapping_targetHits,nonoverlapping_medianPct
stock-validation,recovery-80-3-monthly,validation,45,8,17.77777777777778,-0.010366795000005258,-5.845486167000023,-9.69335023250002,-11.284017927098834,0,13,2,-0.40500097499999166
quality-validation,quality-20-15,validation,45,2,4.444444444444445,-1.6643425500000086,-8.186928571899994,-10.331411852500006,-11.680042361613474,0,13,0,-1.5207840250000104
quality-validation,quality-60-0,validation,45,5,11.11111111111111,-2.1041215750000064,-6.771894491999994,-14.668354264999973,-14.763520559894538,0,13,1,-3.1288399980000214
quality-validation,quality-60-15,validation,45,1,2.2222222222222223,-1.3103384124999895,-5.641492826000012,-11.550784427499995,-12.479266142293888,0,13,0,-0.9977234000000057
quality-validation,quality-60-30,validation,45,3,6.666666666666667,-1.6209960749999919,-6.341485230500004,-9.59579696249998,-11.470385424246333,0,13,0,-0.9977234000000057
quality-validation,quality-120-15,validation,45,2,4.444444444444445,-0.3688876500000049,-8.210766072600004,-10.991175124999996,-14.125768775692082,0,13,0,-0.022841775000004283
rsi-stock-validation,rsi-2-30,validation,45,0,0,-3.0753480449999704,-9.229924679700025,-11.268475872000005,-11.9979079630665,0,13,0,-4.774280828499955
rsi-stock-validation,rsi-5-30,validation,45,0,0,-1.9797120300000137,-9.163581513899986,-10.907379125000006,-12.322119914624563,0,13,0,-2.061500641000036
rsi-stock-validation,rsi-14-30,validation,45,0,0,-0.5371523399999911,-5.04106339719999,-10.884131244000006,-11.80456649058742,0,13,0,-0.4264052399999829
etf-confirmation,momentum-120-3,confirmation,30,12,40,-0.30773306012498725,-8.826083276475012,-11.74035805800001,-14.934954765041342,8,9,3,-0.7237527667499744
etf-confirmation,momentum-60-3,confirmation,30,9,30,-3.858937478125007,-8.901044391224994,-9.624084984750002,-14.595520256807038,6,9,2,-4.874365631500011
etf-confirmation,momentum-20-3,confirmation,30,8,26.666666666666668,-0.26251605787500076,-9.85420018792501,-11.328660153500003,-19.30567213692791,5,9,2,0.5272461492499936
etf-confirmation,recovery-60-3,confirmation,30,11,36.666666666666664,0.1631192230000078,-5.687668173250022,-9.440960287749988,-15.302421791017395,6,9,2,-1.2035226980000036
etf-confirmation,recovery-60-3-monthly,confirmation,30,9,30,0.17269481787499652,-4.6366449296250005,-6.034521497750012,-10.358324506900974,4,9,2,0.34538963574999304
etf-confirmation,recovery-40-3-monthly,confirmation,30,8,26.666666666666668,0.4900639136250162,-5.863979529524981,-8.589453737750008,-11.03669503144431,5,9,3,1.2411534670000002
etf-confirmation,recovery-80-3-monthly,confirmation,30,9,30,1.5418410843749841,-4.268065172450005,-5.241734682749999,-10.26345237181191,4,9,3,5.795799507249977
stock-confirmation,momentum-20-5-monthly,confirmation,29,12,41.37931034482759,9.990973072500008,-10.51302591200001,-16.80991423999999,-17.611083439999998,0,9,3,-8.298333475000009
stock-confirmation,momentum-20-3-monthly,confirmation,29,12,41.37931034482759,9.987983574999992,-10.058903075999996,-11.645551185000002,-14.561388248420071,0,9,4,-1.7150896749999922
stock-confirmation,momentum-60-5-monthly,confirmation,29,12,41.37931034482759,8.243342659999996,-11.179492087000007,-16.469173466999997,-18.005991823609445,0,9,3,-4.824407231500006
stock-confirmation,momentum-20-5,confirmation,29,11,37.93103448275862,-4.528742279500008,-10.511337499200007,-14.41249028999999,-16.909709511872006,0,9,2,-8.30663639999999
stock-confirmation,recovery-60-3-monthly,confirmation,29,11,37.93103448275862,7.681203960000005,-1.654835612000002,-11.225252050000012,-11.225252050000012,0,9,2,6.7692977949999955
stock-confirmation,recovery-40-3-monthly,confirmation,29,13,44.827586206896555,9.418945744999995,-3.252990612000008,-9.662918165000011,-10.27970088500001,0,9,2,6.09155805499999
stock-confirmation,recovery-80-3-monthly,confirmation,29,14,48.275862068965516,9.822614625000003,-2.103929090300009,-10.882673522499998,-10.882673522499998,0,9,3,6.432601954999995
quality-confirmation,quality-20-15,confirmation,29,11,37.93103448275862,2.07197144050002,-9.899544202399987,-11.54564643999998,-13.25621526814934,0,9,3,2.07197144050002
quality-confirmation,quality-60-0,confirmation,29,11,37.93103448275862,2.0448680699999944,-10.389450729500005,-14.000349145000012,-14.772738157694555,0,9,3,5.6735319539999995
quality-confirmation,quality-60-15,confirmation,29,10,34.48275862068966,1.803709346999982,-9.499152914000002,-14.000349145000012,-14.654713361525006,0,9,3,3.025092944999974
quality-confirmation,quality-60-30,confirmation,29,10,34.48275862068966,0.47945732500001004,-9.130353473199987,-13.024811979999985,-13.024811979999985,0,9,3,3.025092944999974
quality-confirmation,quality-120-15,confirmation,29,13,44.827586206896555,2.976297349000001,-9.368796373000007,-10.126081903000017,-12.050648425672684,0,9,4,5.2230650365000075
rsi-stock-confirmation,rsi-2-30,confirmation,29,0,0,1.4811975459999571,-4.077888652599975,-8.525427284999997,-9.898118080499973,0,9,0,-0.0037413614999981526
rsi-stock-confirmation,rsi-5-30,confirmation,29,1,3.4482758620689653,3.028245499000004,-1.139184985999957,-6.8711086999999615,-7.715607479999964,1,9,0,3.028245499000004
rsi-stock-confirmation,rsi-14-30,confirmation,29,0,0,1.5452263900000096,-0.6289387175000183,-1.1678979224999941,-4.684138430012796,0,9,0,1.176809099999998
