directory,candidate,condition,count,targetHits,targetFrequencyPct,medianPct,p10Pct,worstPct,lossFrequencyPct,worstDrawdownPct,unclosed,nonoverlapping_count,nonoverlapping_targetHits,nonoverlapping_targetFrequencyPct,nonoverlapping_medianPct,nonoverlapping_p10Pct,nonoverlapping_worstPct,nonoverlapping_lossFrequencyPct,nonoverlapping_worstDrawdownPct,nonoverlapping_unclosed
expanded/development-verified,momentum-60-5-monthly,recovery,10,5,50.0,1.1263922237500168,-12.821150872650003,-15.340965159000008,50.0,-15.340965159000008,0,7,4,57.14285714285714,10.843874627500028,-10.702342294500001,-12.541171507500003,42.857142857142854,-12.628320712280761,0
expanded/development-verified,momentum-60-5-monthly,export_recovery,2,2,100.0,12.576627504750004,11.254930784949996,10.924506604999994,0.0,-7.155292455000017,0,2,2,100.0,12.576627504750004,11.254930784949996,10.924506604999994,0.0,-7.155292455000017,0
expanded/development-verified,recovery-40-3-monthly,all,46,7,15.217391304347828,-0.5212767924999917,-6.047645816249991,-10.369033145000007,52.17391304347826,-11.202497091957254,5,14,2,14.285714285714285,-1.8147762012500068,-6.613118359399998,-10.369033145000007,64.28571428571429,-11.202497091957254,1
expanded/development-verified,recovery-40-3-monthly,export_growth,12,4,33.33333333333333,0.8759029809999874,-6.38583197784998,-10.264595105000007,41.66666666666667,-10.264595105000007,0,6,1,16.666666666666664,0.10575001974999498,-8.359405350749993,-10.264595105000007,50.0,-10.264595105000007,0
expanded/development-verified,recovery-40-3-monthly,recovery,10,1,10.0,-0.5792476084999942,-4.723440070500004,-5.103014175000009,60.0,-9.61249148500002,0,7,1,14.285714285714285,-0.9744737919999968,-4.849964772000006,-5.103014175000009,71.42857142857143,-9.61249148500002,0
expanded/development-verified,recovery-40-3-monthly,export_recovery,2,0,0.0,2.0639476795,-0.36678949769999747,-0.9744737919999968,50.0,-2.359859361000005,0,2,0,0.0,2.0639476795,-0.36678949769999747,-0.9744737919999968,50.0,-2.359859361000005,0
expanded/development-verified,recovery-60-3-monthly,all,46,5,10.869565217391305,-1.9756175824999889,-7.879725377750008,-11.587973680000008,65.21739130434783,-12.348170808949543,1,14,2,14.285714285714285,-2.5683983387499945,-7.500053499499998,-7.860878658000003,78.57142857142857,-8.120446777774537,0
expanded/development-verified,recovery-60-3-monthly,export_growth,12,4,33.33333333333333,8.109156806000005,-5.934183986000009,-10.574167677499979,41.66666666666667,-12.348170808949543,0,6,1,16.666666666666664,-1.7186427797500015,-6.566243397499977,-10.574167677499979,66.66666666666666,-12.348170808949543,0
expanded/development-verified,recovery-60-3-monthly,recovery,10,0,0.0,-1.525356883750001,-7.921975404200003,-8.471846120000004,70.0,-9.916160179704647,0,7,0,0.0,-2.3009078545000006,-8.105265642800003,-8.471846120000004,85.71428571428571,-9.916160179704647,0
expanded/development-verified,recovery-60-3-monthly,export_recovery,2,0,0.0,-1.7186427797500015,-2.1844548395500007,-2.3009078545000006,100.0,-2.633988328500003,0,2,0,0.0,-1.7186427797500015,-2.1844548395500007,-2.3009078545000006,100.0,-2.633988328500003,0
expanded/development-verified,recovery-80-3-monthly,all,46,4,8.695652173913043,-1.1734393562500056,-7.766273502500004,-11.826942020000008,56.52173913043478,-13.301604615930184,0,14,2,14.285714285714285,-1.9458043195000052,-7.295455304900009,-10.906131045,71.42857142857143,-10.906131045,0
expanded/development-verified,recovery-80-3-monthly,export_growth,12,3,25.0,1.190885609249992,-7.665966577299995,-11.826942020000008,41.66666666666667,-13.301604615930184,0,6,1,16.666666666666664,-0.45669013974998784,-9.070208900250003,-11.826942020000008,50.0,-13.301604615930184,0
expanded/development-verified,recovery-80-3-monthly,recovery,10,0,0.0,-2.456376467249999,-6.029269141,-8.634096490000044,70.0,-10.495547934844751,0,7,0,0.0,-2.3009078545000006,-5.9972657500000155,-8.634096490000044,57.14285714285714,-10.495547934844751,0
expanded/development-verified,recovery-80-3-monthly,export_recovery,2,0,0.0,-0.45669013974998784,-1.932064311549998,-2.3009078545000006,50.0,-2.633988328500003,0,2,0,0.0,-0.45669013974998784,-1.932064311549998,-2.3009078545000006,50.0,-2.633988328500003,0
expanded/validation,momentum-120-5-monthly,all,45,19,42.22222222222222,-4.480774692500001,-11.411964048999998,-14.945248400000011,53.333333333333336,-17.195520468726134,1,13,5,38.46153846153847,-5.419580465000006,-9.548976187000005,-9.743698970000004,53.84615384615385,-13.731786781245992,1
expanded/validation,momentum-120-5-monthly,export_growth,17,5,29.411764705882355,-8.542939177499997,-12.461880283,-13.662245439999998,70.58823529411765,-17.195520468726134,0,5,2,40.0,-6.568099850000008,-9.479287629000003,-9.618664745000006,60.0,-12.80615609988417,0
expanded/validation,momentum-120-5-monthly,recovery,5,3,60.0,10.254639389999998,-9.759001316499996,-9.921535577499995,40.0,-12.392340750402441,0,5,3,60.0,10.254639389999998,-9.759001316499996,-9.921535577499995,40.0,-12.392340750402441,0
expanded/validation,momentum-120-5-monthly,export_recovery,2,0,0.0,-9.718367751249996,-9.880902012249996,-9.921535577499995,100.0,-12.392340750402441,0,2,0,0.0,-9.718367751249996,-9.880902012249996,-9.921535577499995,100.0,-12.392340750402441,0
expanded/validation,momentum-20-5-monthly,all,45,23,51.11111111111111,10.056405967500016,-11.131485208100003,-13.87219139,46.666666666666664,-16.35485985453099,0,13,7,53.84615384615385,11.009198910000006,-11.088906832999992,-13.87219139,46.15384615384615,-16.35485985453099,0
expanded/validation,momentum-20-5-monthly,export_growth,17,6,35.294117647058826,-4.860879320000022,-11.249976018699996,-13.854577018999992,58.82352941176471,-14.709917111000003,0,5,2,40.0,-9.756214195999979,-10.974265583499992,-11.203548082499992,60.0,-11.941577982500007,0
expanded/validation,momentum-20-5-monthly,recovery,5,3,60.0,10.056405967500016,-5.824260708999991,-7.587158604999988,40.0,-10.830246697638767,0,5,3,60.0,10.056405967500016,-5.824260708999991,-7.587158604999988,40.0,-10.830246697638767,0
expanded/validation,momentum-20-5-monthly,export_recovery,2,1,50.0,1.2346236812500138,-5.822802147749988,-7.587158604999988,50.0,-10.156535971324132,0,2,1,50.0,1.2346236812500138,-5.822802147749988,-7.587158604999988,50.0,-10.156535971324132,0
expanded/validation,momentum-60-5-monthly,all,45,20,44.44444444444444,-3.1756219425000065,-11.104499970000013,-12.343168487500012,55.55555555555556,-13.817350787277382,0,13,6,46.15384615384615,-0.6913289799999944,-10.7389801956,-11.299012120000018,53.84615384615385,-11.686720665000006,0
expanded/validation,momentum-60-5-monthly,export_growth,17,3,17.647058823529413,-8.193456982499992,-11.30714401800001,-12.343168487500012,82.35294117647058,-13.817350787277382,0,5,2,40.0,-8.200404915749992,-10.85545283400001,-11.299012120000018,60.0,-11.299012120000018,0
expanded/validation,momentum-60-5-monthly,recovery,5,3,60.0,10.56035450749999,-5.436278093999998,-6.943382194999992,40.0,-12.183055792121811,0,5,3,60.0,10.56035450749999,-5.436278093999998,-6.943382194999992,40.0,-12.183055792121811,0
expanded/validation,momentum-60-5-monthly,export_recovery,2,0,0.0,-5.05950206875,-6.566606169749994,-6.943382194999992,100.0,-12.183055792121811,0,2,0,0.0,-5.05950206875,-6.566606169749994,-6.943382194999992,100.0,-12.183055792121811,0
expanded/validation,recovery-60-3-monthly,all,45,10,22.22222222222222,2.2033612919999834,-4.581524271399995,-7.314874161499995,35.55555555555556,-10.260183368194253,1,13,2,15.384615384615385,-0.8131836637499834,-4.775801223000005,-7.314874161499995,61.53846153846154,-8.940513054457867,0
